program9
1)	fgvfwr         	465.0000000000                	1.0000000000
2)	tgfdr          	2.0000000000                  	3.0000000000
3)	erfc           	2.0000000000                  	3.0000000000
4)	frecw          	2.0000000000                  	3.0000000000
5)	ewcr           	3.0000000000                  	3.0000000000
6)	nrebv          	8.0000000000                  	9.0000000000
7)	edqrf          	20.0000000000                 	10.0000000000
8)	red            	645.0000000000                	30.0000000000
9)	ecdew          	485.1000000000                	44.0000000000
10)	edceqrf        	100.0000000000                	45.0000000000
11)	ccerq          	456.0000000000                	54.0000000000
12)	dvwerv         	15.0000000000                 	56.0000000000
13)	edcfer         	645.0000000000                	86.0000000000
14)	erdcer         	7.0000000000                  	88.0000000000
15)	aweeede        	33.6500000000                 	654.5000000000
